state_name,state_abbrev,total_employment,pt_per_1000_jobs,year
Alabama,AL,2670,1.303,2023
Alaska,AK,570,1.844,2023
Arizona,AZ,4490,1.433,2023
Arkansas,AR,2570,2.022,2023
California,CA,24200,1.349,2023
Colorado,CO,5360,1.893,2023
Connecticut,CT,3790,2.282,2023
Delaware,DE,1060,2.26,2023
District of Columbia,DC,630,0.9,2023
Florida,FL,16150,1.688,2023
Georgia,GA,5600,1.176,2023
Hawaii,HI,870,1.41,2023
Idaho,ID,1260,1.527,2023
Illinois,IL,10610,1.764,2023
Indiana,IN,4840,1.533,2023
Iowa,IA,2710,1.755,2023
Kansas,KS,2850,2.018,2023
Kentucky,KY,3530,1.798,2023
Louisiana,LA,2720,1.467,2023
Maine,ME,1450,2.326,2023
Maryland,MD,4070,1.52,2023
Massachusetts,MA,7070,1.941,2023
Michigan,MI,6700,1.54,2023
Minnesota,MN,4140,1.436,2023
Mississippi,MS,1840,1.602,2023
Missouri,MO,4650,1.616,2023
Montana,MT,1210,2.418,2023
Nebraska,NE,1650,1.651,2023
Nevada,NV,1880,1.266,2023
New Hampshire,NH,1300,1.926,2023
New Jersey,NJ,7310,1.739,2023
New Mexico,NM,1370,1.622,2023
New York,NY,15560,1.656,2023
North Carolina,NC,7080,1.477,2023
North Dakota,ND,840,2.011,2023
Ohio,OH,9220,1.686,2023
Oklahoma,OK,2240,1.348,2023
Oregon,OR,3090,1.589,2023
Pennsylvania,PA,11780,1.981,2023
Rhode Island,RI,1240,2.531,2023
South Carolina,SC,3700,1.663,2023
South Dakota,SD,900,2.025,2023
Tennessee,TN,4220,1.31,2023
Texas,TX,17170,1.266,2023
Utah,UT,2310,1.374,2023
Vermont,VT,640,2.138,2023
Virginia,VA,7630,1.916,2023
Washington,WA,5490,1.57,2023
West Virginia,WV,1210,1.754,2023
Wisconsin,WI,4950,1.716,2023
Wyoming,WY,440,1.625,2023
Puerto Rico,PR,440,0.472,2023
Virgin Islands,VI,30,0.961,2023
