State_abbrev,State,H_MEAN,Estimated Outpatient PT Wage,A_MEAN
AL,Alabama,46.61,89401.72242,96950
AK,Alaska,53.28,102201.0613,110830
AZ,Arizona,47.58,91255.22899,98960
AR,Arkansas,44.36,85086.09518,92270
CA,California,54.94,105373.2318,114270
CO,Colorado,47.12,90369.97212,98000
CT,Connecticut,49.94,95782.94902,103870
DE,Delaware,50.26,96391.56312,104530
DC,District of Columbia,49.78,95487.8634,103550
FL,Florida,45.6,87465.22302,94850
GA,Georgia,48.01,92085.15731,99860
HI,Hawaii,49.52,94989.90641,103010
ID,Idaho,44.42,85205.97372,92400
IL,Illinois,50.31,96492.99881,104640
IN,Indiana,46.52,89226.51533,96760
IA,Iowa,44.16,84698.7953,91850
KS,Kansas,45.09,86478.53047,93780
KY,Kentucky,42.06,80669.03226,87480
LA,Louisiana,47.04,90213.20789,97830
ME,Maine,44.1,84578.91677,91720
MD,Maryland,50.73,97304.48427,105520
MA,Massachusetts,47.93,91937.6145,99700
MI,Michigan,45.89,88018.50856,95450
MN,Minnesota,47.05,90240.87216,97860
MS,Mississippi,45.79,87815.6372,95230
MO,Missouri,43.77,83942.63839,91030
MT,Montana,41.13,78889.29709,85550
NE,Nebraska,43.69,83795.09558,90870
NV,Nevada,53.59,102782.0112,111460
NH,New Hampshire,45.78,87806.41577,95220
NJ,New Jersey,52.54,100771.7403,109280
NM,New Mexico,47.26,90637.39347,98290
NY,New York,48.47,92961.19275,100810
NC,North Carolina,45.74,87741.86579,95150
ND,North Dakota,42.51,81545.0677,88430
OH,Ohio,47.06,90268.53644,97890
OK,Oklahoma,45.89,88018.50856,95450
OR,Oregon,48.22,92500.12147,100310
PA,Pennsylvania,47.58,91264.45042,98970
RI,Rhode Island,45.75,87751.08722,95160
SC,South Carolina,45.33,86939.60175,94280
SD,South Dakota,42.81,82116.7961,89050
TN,Tennessee,46.37,88931.42971,96440
TX,Texas,51.42,98632.36957,106960
UT,Utah,46.57,89318.72959,96860
VT,Vermont,45.38,87031.81601,94380
VA,Virginia,48.01,92075.93588,99850
WA,Washington,48.79,93579.02828,101480
WV,West Virginia,45.25,86801.28037,94130
WI,Wisconsin,45.76,87769.53007,95180
WY,Wyoming,44.8,85934.46635,93190
PR,Puerto Rico,25.33,48587.69215,52690
VI,Virgin Islands,49.14,94242.97093,102200
